Date,HomeTeam,AwayTeam,FTHG,FTAG
2015-04-19,Eibar,Celta,0,1
2015-04-19,Granada,Sevilla,1,1
2015-04-19,Vallecano,Almeria,2,0
2015-04-19,Villarreal,Cordoba,0,0
2015-04-20,Elche,Sociedad,1,0
2015-04-24,Cordoba,Ath Bilbao,0,1
2015-04-25,Ath Madrid,Elche,3,0
2015-04-25,Espanol,Barcelona,0,2
2015-04-25,Getafe,Levante,0,1
2015-04-25,Sociedad,Villarreal,0,0
2015-04-26,Almeria,Eibar,2,0
2015-04-26,Celta,Real Madrid,2,4
2015-04-26,Malaga,La Coruna,1,1
2015-04-26,Sevilla,Vallecano,2,0
2015-04-27,Valencia,Granada,4,0
2015-04-28,Ath Bilbao,Sociedad,1,1
2015-04-28,Barcelona,Getafe,6,0
2015-04-28,Levante,Cordoba,1,0
2015-04-29,Celta,Malaga,1,0
2015-04-29,Eibar,Sevilla,1,3
2015-04-29,Elche,La Coruna,4,0
2015-04-29,Real Madrid,Almeria,3,0
2015-04-29,Villarreal,Ath Madrid,0,1
2015-04-30,Granada,Espanol,1,2
2015-04-30,Vallecano,Valencia,1,1
2015-05-01,Sociedad,Levante,3,0
2015-05-02,Ath Madrid,Ath Bilbao,0,0
2015-05-02,Cordoba,Barcelona,0,8
2015-05-02,La Coruna,Villarreal,1,1
2015-05-02,Sevilla,Real Madrid,2,3
2015-05-03,Espanol,Vallecano,1,1
2015-05-03,Getafe,Granada,1,2
2015-05-03,Malaga,Elche,1,2
2015-05-03,Valencia,Eibar,3,1
2015-05-04,Almeria,Celta,2,2
2015-05-08,Eibar,Espanol,0,2
2015-05-09,Ath Bilbao,La Coruna,1,1
2015-05-09,Barcelona,Sociedad,2,0
2015-05-09,Granada,Cordoba,2,0
2015-05-09,Real Madrid,Valencia,2,2
2015-05-10,Almeria,Malaga,1,2
2015-05-10,Celta,Sevilla,1,1
2015-05-10,Levante,Ath Madrid,2,2
2015-05-10,Villarreal,Elche,1,0
2015-05-11,Vallecano,Getafe,2,0
2015-05-17,Ath Madrid,Barcelona,0,1
2015-05-17,Cordoba,Vallecano,1,2
2015-05-17,Elche,Ath Bilbao,2,3
2015-05-17,Espanol,Real Madrid,1,4
2015-05-17,Getafe,Eibar,1,1
2015-05-17,La Coruna,Levante,2,0
2015-05-17,Sevilla,Almeria,2,1
2015-05-17,Sociedad,Granada,0,3
2015-05-17,Valencia,Celta,1,1
2015-05-17,Villarreal,Malaga,2,1
2015-05-23,Almeria,Valencia,2,3
2015-05-23,Ath Bilbao,Villarreal,4,0
2015-05-23,Barcelona,La Coruna,2,2
2015-05-23,Celta,Espanol,3,2
2015-05-23,Eibar,Cordoba,3,0
2015-05-23,Granada,Ath Madrid,0,0
2015-05-23,Levante,Elche,0,0
2015-05-23,Malaga,Sevilla,2,3
2015-05-23,Real Madrid,Getafe,7,3
2015-05-23,Vallecano,Sociedad,2,4
2015-08-21,Malaga,Sevilla,0,0
2015-08-22,Ath Madrid,Las Palmas,1,0
2015-08-22,Espanol,Getafe,1,0
2015-08-22,La Coruna,Sociedad,0,0
2015-08-22,Vallecano,Valencia,0,0
2015-08-23,Ath Bilbao,Barcelona,0,1
2015-08-23,Betis,Villarreal,1,1
2015-08-23,Levante,Celta,1,2
2015-08-23,Sp Gijon,Real Madrid,0,0
2015-08-24,Granada,Eibar,1,3
2015-08-28,Villarreal,Espanol,3,1
2015-08-29,Barcelona,Malaga,1,0
2015-08-29,Celta,Vallecano,3,0
2015-08-29,Real Madrid,Betis,5,0
2015-08-29,Sociedad,Sp Gijon,0,0
2015-08-30,Eibar,Ath Bilbao,2,0
2015-08-30,Getafe,Granada,1,2
2015-08-30,Las Palmas,Levante,0,0
2015-08-30,Sevilla,Ath Madrid,0,3
2015-08-30,Valencia,La Coruna,1,1
2015-09-11,Levante,Sevilla,1,1
2015-09-12,Ath Madrid,Barcelona,1,2
2015-09-12,Betis,Sociedad,1,0
2015-09-12,Espanol,Real Madrid,0,6
2015-09-12,Sp Gijon,Valencia,0,1
2015-09-13,Ath Bilbao,Getafe,3,1
2015-09-13,Celta,Las Palmas,3,3
2015-09-13,Granada,Villarreal,1,3
2015-09-13,Malaga,Eibar,0,0
2015-09-14,Vallecano,La Coruna,1,3
2015-09-18,Getafe,Malaga,1,0
2015-09-19,Eibar,Ath Madrid,0,2
2015-09-19,Real Madrid,Granada,1,0
2015-09-19,Sociedad,Espanol,2,3
2015-09-19,Valencia,Betis,0,0
2015-09-20,Barcelona,Levante,4,1
2015-09-20,La Coruna,Sp Gijon,2,3
2015-09-20,Las Palmas,Vallecano,0,1
2015-09-20,Sevilla,Celta,1,2
2015-09-20,Villarreal,Ath Bilbao,3,1
2015-09-22,Ath Madrid,Getafe,2,0
2015-09-22,Espanol,Valencia,1,0
2015-09-22,Granada,Sociedad,0,3
2015-09-23,Ath Bilbao,Real Madrid,1,2
2015-09-23,Celta,Barcelona,4,1
2015-09-23,Las Palmas,Sevilla,2,0
2015-09-23,Levante,Eibar,2,2
2015-09-23,Malaga,Villarreal,0,1
2015-09-23,Vallecano,Sp Gijon,2,1
2015-09-24,Betis,La Coruna,1,2
2015-09-25,Valencia,Granada,1,0
2015-09-26,Barcelona,Las Palmas,2,1
2015-09-26,Eibar,Celta,1,1
2015-09-26,Real Madrid,Malaga,0,0
